platform,platform_episode_number,platform_title,url,reason
fireside,,1: Dragon Tales and Gene Splicing,https://gsr.fireside.fm/1,unclassified: platform row has no S02/S03 episode_uid
fireside,,2: New Galaxies and Controversial Viking Bones,https://gsr.fireside.fm/2,unclassified: platform row has no S02/S03 episode_uid
fireside,005,S03 Ep005 | From Coral Reefs to Cosmic Clues: Design at Every Scale,https://gsr.fireside.fm/41,bridge: platform# maps to undated/overflow/out-of-spine production episode
fireside,010,"S03 Ep010 | Bacteria “Playing Dead”, ISS Retirement, and Gen Z Faith",https://gsr.fireside.fm/42,bridge: platform# maps to undated/overflow/out-of-spine production episode
fireside,012,"S03 Ep012 | Pumas, Penguins, and Creation Care",https://gsr.fireside.fm/48,bridge: platform# maps to undated/overflow/out-of-spine production episode
fireside,013,S03 Ep013 | When Evolution Stops Being Science,https://gsr.fireside.fm/49,bridge: platform# maps to undated/overflow/out-of-spine production episode
rumble,,DNA Super Computer?! l Jay Seegert & David Rives on Genesis Science Report,https://rumble.com/v74a8eu-dna-super-computer-l-jay-seegert-and-david-rives-on-genesis-science-report.html,unclassified: platform row has no S02/S03 episode_uid
rumble,,Frozen In Time l Dr. Joe Deweese & David Rives on Genesis Science Report,https://rumble.com/v74a6c8-frozen-in-time-l-dr.-joe-deweese-and-david-rives-on-genesis-science-report.html,unclassified: platform row has no S02/S03 episode_uid
rumble,,Genesis Science Report 2026-05-30 20:51,https://rumble.com/v79958q-genesis-science-report.html,unclassified: platform row has no S02/S03 episode_uid
rumble,,Israel Dilemma I Tim Mahoney & David Rives on Genesis Science Report,https://rumble.com/v74aa40-israel-dilemma-i-tim-mahoney-and-david-rives-on-genesis-science-report.html,unclassified: platform row has no S02/S03 episode_uid
rumble,,New Galaxies Discovered + Controversial Viking Bones? | GSR with David Rives,https://rumble.com/v70tuj4-new-galaxies-discovered-controversial-viking-bones-gsr-with-david-rives.html,unclassified: platform row has no S02/S03 episode_uid
rumble,,Space Living l Dr. Mike Houts and David Rives on the Genesis Science Report,https://rumble.com/v74a72u-space-living-l-dr.-mike-houts-and-david-rives-on-the-genesis-science-report.html,unclassified: platform row has no S02/S03 episode_uid
rumble,010,"Bacteria ""Playing Dead"", ISS Retirement, and Gen Z Faith | Genesis Science Repor",https://rumble.com/v78jrgm-bacteria-playing-dead-iss-retirement-and-gen-z-faith-genesis-science-report.html,bridge: platform# maps to undated/overflow/out-of-spine production episode
rumble,014,Scientists Can't Copy the Human Body: But Evolution Did It By Accident? | GSR - ,https://rumble.com/v79zx06-scientists-cant-copy-the-human-body-but-evolution-did-it-by-accident-gsr-s0.html,bridge: platform# maps to undated/overflow/out-of-spine production episode
rumble,015,The Smithsonian's Missing Evidence & UFOs Explained | Genesis Science Report - S,https://rumble.com/v7adh76-the-smithsonians-missing-evidence-and-ufos-explained-genesis-science-report.html,bridge: platform# maps to undated/overflow/out-of-spine production episode
youtube,,"Ancient Tools, Shared Origins, and a Biblical Blueprint | Genesis Science Report",https://www.youtube.com/watch?v=8moTgJL_s_E,unclassified: platform row has no S02/S03 episode_uid
youtube,,Eugenics = Racism + Biblical Lifespan Research | Genesis Science Report with Dav,https://www.youtube.com/watch?v=owQSxpEnTSE,unclassified: platform row has no S02/S03 episode_uid
youtube,,From Coral Reefs to Cosmic Clues: Design at Every Scale | Genesis Science Report,https://www.youtube.com/watch?v=OdXvg9FWZcI,unclassified: platform row has no S02/S03 episode_uid
youtube,,New Galaxies Discovered + Controversial Viking Bones? | GSR with David Rives,https://www.youtube.com/watch?v=1u64Yj90p6w,unclassified: platform row has no S02/S03 episode_uid
youtube,010,"Bacteria ""Playing Dead"", ISS Retirement, and Gen Z Faith | Genesis Science Repor",https://www.youtube.com/watch?v=aC-GTGY9T_k,bridge: platform# maps to undated/overflow/out-of-spine production episode
youtube,012,Pumas Are Killing Penguins - What It Tells Us About Creation | Genesis Science R,https://www.youtube.com/watch?v=QDmxr4PI5-A,bridge: platform# maps to undated/overflow/out-of-spine production episode
youtube,013,Is Evolution Still Science? Soil Science Rewrites the Timeline | Genesis Science,https://www.youtube.com/watch?v=Ugme2VWDHcM,bridge: platform# maps to undated/overflow/out-of-spine production episode
youtube,014,Scientists Can't Copy the Human Body: But Evolution Did It By Accident? | GSR - ,https://www.youtube.com/watch?v=cwCfTfNogdY,bridge: platform# maps to undated/overflow/out-of-spine production episode
youtube,015,The Smithsonian's Missing Evidence & UFOs Explained | Genesis Science Report - S,https://www.youtube.com/watch?v=aIA-Yx9_nnU,bridge: platform# maps to undated/overflow/out-of-spine production episode
