source,source_episode_uid,guest_key,guest_full_name,parked_reason
youtube,S02E004,carl-werner,Dr Carl Werner,D1 — S02 deferred
youtube,S02E004,jerry-bergman,Dr. Jerry Bergman,D1 — S02 deferred
youtube,S02E006,carl-werner,Dr. Carl Werner,D1 — S02 deferred
youtube,S02E006,john-mackay,John Mackay,D1 — S02 deferred
youtube,S02E007,andrew-snelling,Dr. Andrew Snelling,D1 — S02 deferred
youtube,S02E007,michael-oard,Michael Oard,D1 — S02 deferred
youtube,S02E008,randy-guliuzza,Dr. Randy Guliuzza,D1 — S02 deferred
youtube,S02E008,randy-guliuzza,Dr. Randy Guliuzza,D1 — S02 deferred
youtube,S02E008,tim-clarey,Dr. Tim Clarey,D1 — S02 deferred
youtube,S02E008,tim-clarey,Dr. Tim Clarey,D1 — S02 deferred
youtube,S02E009,andy-mcintosh,Professor Andy McIntosh,D1 — S02 deferred
youtube,S02E009,david-coppedge,David Coppedge,D1 — S02 deferred
youtube,S02E010,carl-werner,Dr. Carl Werner,D1 — S02 deferred
youtube,S02E010,joseph-hubbard,Joseph Hubbard,D1 — S02 deferred
youtube,S02E011,carl-werner,Dr. Carl Werner,D1 — S02 deferred
youtube,S02E011,jerry-bergman,Dr. Jerry Bergman,D1 — S02 deferred
youtube,S02E012,brian-thomas,Dr. Brian Thomas,D1 — S02 deferred
youtube,S02E012,john-hartnett,Dr. John Hartnett,D1 — S02 deferred
youtube,S02E013,joseph-hubbard,Joseph Hubbard,D1 — S02 deferred
youtube,S02E014,carl-werner,Dr. Carl Werner,D1 — S02 deferred
youtube,S02E014,joe-deweese,Dr. Joe Deweese,D1 — S02 deferred
youtube,S02E015,carl-werner,Dr. Carl Werner,D1 — S02 deferred
youtube,S02E015,michael-houts,Dr. Mike Houts,D1 — S02 deferred
youtube,S02E016,tim-shields,Pastor Tim Shields,D1 — S02 deferred
youtube,S02E017,carl-werner,Dr. Carl Werner,D1 — S02 deferred
youtube,S02E018,david-coppedge,David Coppedge,D1 — S02 deferred
youtube,S02E018,stuart-burgess,Dr. Stuart Burgess,D1 — S02 deferred
youtube,S02E020,chris-rupe,Dr. Chris Rupe,D1 — S02 deferred
youtube,S02E021,carl-werner,Dr. Carl Werner,D1 — S02 deferred
youtube,S02E021,steve-taylor,Dr. Steven Taylor,D1 — S02 deferred
youtube,S02E022,jay-wile,Dr. Jay Wile,D1 — S02 deferred
youtube,S02E023,carl-werner,Dr. Carl Werner,D1 — S02 deferred
youtube,S02E023,jeffrey-tomkins,Jeffrey Tomkins,D1 — S02 deferred
youtube,S02E024,john-hartnett,Dr. John Hartnett,D1 — S02 deferred
youtube,S02E024,michael-maughon,Michael Maughon,D1 — S02 deferred
youtube,S02E025,carl-werner,Dr. Carl Werner,D1 — S02 deferred
youtube,S02E025,joe-deweese,Dr. Joe Deweese,D1 — S02 deferred
youtube,S02E026,michael-maughon,Michael Maughon,D1 — S02 deferred
youtube,S02E027,carl-werner,Dr. Carl Werner,D1 — S02 deferred
youtube,S02E027,joseph-hubbard,Joseph Hubbard,D1 — S02 deferred
youtube,S02E028,jeff-williams,Col. Jeff Williams,D1 — S02 deferred
youtube,S02E029,david-coppedge,David Coppedge,D1 — S02 deferred
youtube,S02E029,glenn-wilson,Dr. Glenn Wilson,D1 — S02 deferred
youtube,S02E030,david-coppedge,David Coppedge,D1 — S02 deferred
youtube,S02E030,michael-maughon,Michael Maughon,D1 — S02 deferred
youtube,S02E031,doug-velting,Doug Velting,D1 — S02 deferred
youtube,S02E031,michael-maughon,Michael Maughon,D1 — S02 deferred
youtube,S02E032,michael-maughon,Michael Maughon,D1 — S02 deferred
youtube,S02E032,stuart-burgess,Dr. Stuart Burgess,D1 — S02 deferred
youtube,S02E033,bodie-hodge,Bodie Hodge,D1 — S02 deferred
youtube,S02E033,jake-hebert,Dr. Jake Hebert,D1 — S02 deferred
youtube,S02E034,david-coppedge,David Coppedge,D1 — S02 deferred
youtube,S02E035,david-coppedge,David Coppedge,D1 — S02 deferred
youtube,S02E035,paul-nelson,Dr. Paul Nelson,D1 — S02 deferred
youtube,S02E036,carl-werner,Dr. Carl Werner,D1 — S02 deferred
youtube,S02E036,jeffrey-tomkins,Dr. Jeff Tomkins,D1 — S02 deferred
youtube,S02E038,michael-houts,Dr. Mike Houts,D1 — S02 deferred
youtube,S02E038,tim-clarey,Dr. Tim Clarey,D1 — S02 deferred
youtube,S02E039,michael-egnor,Dr. Michael Egnor,D1 — S02 deferred
youtube,S02E039,tommy-lohman,Tommy Lohman,D1 — S02 deferred
youtube,S02E040,seth-dillon,Seth Dillon,D1 — S02 deferred
youtube,S02E041,jerry-bergman,Dr. Jerry Bergman,D1 — S02 deferred
youtube,S02E041,michael-lienau,Michael Lienau,D1 — S02 deferred
youtube,S02E042,don-deyoung,Dr. Don DeYoung,D1 — S02 deferred
youtube,S02E042,jay-seegert,Jay Seegert,D1 — S02 deferred
youtube,S02E043,kirby-runyon,Dr. Kirby Runyon,D1 — S02 deferred
youtube,S02E043,paul-garner,Paul Garner,D1 — S02 deferred
youtube,S02E045,ed-holroyd-iii,Dr. Ed Holroyd,D1 — S02 deferred
youtube,S02E045,joseph-hubbard,Joe Hubbard,D1 — S02 deferred
youtube,S02E046,bodie-hodge,Bodie Hodge,D1 — S02 deferred
youtube,S02E046,don-deyoung,Dr. Don DeYoung,D1 — S02 deferred
youtube,S02E046,jason-lisle,Dr. Jason Lisle,D1 — S02 deferred
youtube,S02E048,brian-young,Brian Young,D1 — S02 deferred
youtube,S02E048,steve-furber,Dr. Steve Furber,D1 — S02 deferred
youtube,S02E049,andrew-j-fabich,Dr. Andrew Fabich,D1 — S02 deferred
youtube,S02E049,tim-clarey,Dr. Tim Clarey,D1 — S02 deferred
youtube,S02E050,carl-werner,Dr. Carl Werner,D1 — S02 deferred
youtube,S02E050,michael-maughon,Michael Maughon,D1 — S02 deferred
youtube,S02E052,andy-mcintosh,Professor Andy McIntosh,D1 — S02 deferred
youtube,S02E052,james-tour,Dr. James Tour,D1 — S02 deferred
youtube,S02E053,andy-mcintosh,Professor Andy McIntosh,D1 — S02 deferred
youtube,S02E053,james-tour,Dr. James Tour,D1 — S02 deferred
youtube,S02E054,carl-werner,Dr. Carl Werner,D1 — S02 deferred
youtube,S02E054,michael-maughon,Michael Maughon,D1 — S02 deferred
youtube,S02E055,andy-mcintosh,Professor Andy McIntosh,D1 — S02 deferred
youtube,S02E056,james-tour,Dr. James Tour,D1 — S02 deferred
youtube,S02E057,michael-maughon,Michael Maughon,D1 — S02 deferred
youtube,S02E058,carl-werner,Dr. Carl Werner,D1 — S02 deferred
youtube,S02E058,james-tour,Dr. James Tour,D1 — S02 deferred
