font,used_in_templates,usage_count,dashboard_font_editor_match,source,confidence,needs_human,notes
Colaborate-Regular,Closing_Comments_L3RDs; FEBRUARY_SHOW_A_INTERVIEW_1_L3RDS-1; FEBRUARY_SHOW_C_INTERVIEW_1_L3RDS-1; FEBRUARY_SHOW_C_INTERVIEW_2_L3RDS; FEBRUARY_SHOW_D_INTERVIEW_1_L3RDS; FEBRUARY_SHOW_D_INTERVIEW_1_SPLITSCREEN; FEBRUARY_SHOW_D_INTERVIEW_2_L3RDS; L3 BG; Lower Thirds; Lower Thirds Alt 1; Lower Thirds Alt 2; Lower Thirds Alt 3; Lower Thirds Alt 4; Lower Thirds Alt 5; SHOW_A_FEATURED_RESOURCE_L3RDS,71,yes,propres_ssd,high,false,
Colaborate-Bold,Closing_Comments_L3RDs; FEBRUARY_SHOW_A_INTERVIEW_1_L3RDS-1; FEBRUARY_SHOW_C_INTERVIEW_1_L3RDS-1; FEBRUARY_SHOW_C_INTERVIEW_2_L3RDS; FEBRUARY_SHOW_D_INTERVIEW_1_L3RDS; FEBRUARY_SHOW_D_INTERVIEW_2_L3RDS; L3 BG; Lower Thirds; Lower Thirds Alt 1; Lower Thirds Alt 2; Lower Thirds Alt 3; Lower Thirds Alt 4; Lower Thirds Alt 5; SHOW_A_FEATURED_RESOURCE_L3RDS; SHOW_A_GSM_L3RDs,67,yes,propres_ssd,high,false,
HelveticaNeue,FEBRUARY_SHOW_C_HEAVENS_DECLARE; FEBRUARY_SHOW_D_HEAVENS_DECLARE; SHOW_A_COMMERCIAL_PROMO_1; SHOW_A_COMMERCIAL_PROMO_2; SHOW_A_GSM; SHOW_A_HEAVENS_DECLARE; SHOW_A_MINISTRY_UPDATE_SPLITSCREEN; SHOW_B_COMMERCIAL_PROMO_1; SHOW_B_COMMERCIAL_PROMO_2; SHOW_B_GSM; SHOW_B_HEAVENS_DECLARE; SHOW_B_MINISTRY_UPDATE_SPLITSCREEN; SHOW_C_COMMERCIAL_PROMO_1; SHOW_C_COMMERCIAL_PROMO_2; SHOW_C_GSM,31,unknown,propres_ssd,medium,true,verify font is installed in dashboard font-editor
Avenir-Black,GAP '26 L3s Names; GAP '26 Locators; GAP 26 LOGOS; GAP 26 WEDNESDAY; GAP MONDAY; GAP State Ambassadors; Mark Koch free book QR code; Mark Koch free book QR code L3; Mark Koch free book QR code-1,9,unknown,propres_ssd,medium,true,verify font is installed in dashboard font-editor
Avenir-Book,GAP '26 L3s Names; GAP 26 WEDNESDAY; GAP MONDAY; GAP State Ambassadors,4,unknown,propres_ssd,medium,true,verify font is installed in dashboard font-editor
Colaborate-Medium,SHOW_A_INTERVIEW_1_SPLITSCREEN; SHOW_A_OPENING_MONOLOGUE_SPLITSCREEN; SHOW_B_INTERVIEW_1_SPLITSCREEN; SHOW_B_OPENING_MONOLOGUE_SPLITSCREEN,4,yes,propres_ssd,high,false,
Atlanta-Book,CTN_ASSETS; CTN_L3RDs; UNW_L3RDS,3,unknown,propres_ssd,medium,true,verify font is installed in dashboard font-editor
Colaborate-Thin,FEBRUARY_SHOW_D_INTERVIEW_1_SPLITSCREEN; TEST_SHOW_QA_SPLITSCREENS; TEST_SHOW_VIEWER_VOICES_SPLITSCREEN,3,yes,propres_ssd,high,false,
MuskegonCFSemiBold-SemiBold,CTN_ASSETS; CTN_L3RDs,2,unknown,propres_ssd,medium,true,verify font is installed in dashboard font-editor
Futura-Medium,Closing_Comments_L3RDs-1; TEST_Closing_Comments_L3RDs,2,unknown,propres_ssd,medium,true,verify font is installed in dashboard font-editor
UnderWorld,UNW_L3RDS; UNW_OPENER,2,unknown,propres_ssd,medium,true,verify font is installed in dashboard font-editor
Satoshi-Medium,SHOW_A_OPENING_MONOLOGUE_L3RD,1,unknown,propres_ssd,medium,true,verify font is installed in dashboard font-editor
Satoshi-Regular,SHOW_A_OPENING_MONOLOGUE_L3RD,1,unknown,propres_ssd,medium,true,verify font is installed in dashboard font-editor
Helvetica-Bold,TestWonders001,1,unknown,propres_ssd,medium,true,verify font is installed in dashboard font-editor
